id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Documents>	weight<Citations>	weight<Norm. citations>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
3	"abadi, mahdi"	1.3444	-0.3253	13	1	1	1	11	0.8537	2018	11	0.8537
8	"abokhodair, norah"	0.1939	-0.0381	6	57	62	1	100	4.7826	2015	100	4.7826
12	"acker, emily"	0.7528	1.3172	11	3	3	1	11	4.5158	2021	11	4.5158
13	"adam, lena"	-0.4206	0.0213	9	56	98	3	74	5.5418	2018.3333	24.6667	1.8473
14	"addawood, aseel"	0.3427	0.5089	5	20	21	1	21	2.0707	2019	21	2.0707
17	"afsarmanesh, hamideh"	0.3132	-0.1779	8	19	19	1	13	0.3504	2016	13	0.3504
26	"ahmed, wasim"	-0.3138	0.4967	5	4	4	1	33	3.254	2019	33	3.254
27	"akhremenko, a. s."	-0.4089	-0.0273	1	26	30	2	5	0.6777	2020.5	2.5	0.3388
33	"al-rawi, ahmed"	1.4402	-0.4541	13	5	5	2	25	2.8344	2019.5	12.5	1.4172
35	"al-salman, abdulmalik"	0.8312	0.0467	4	17	19	2	63	1.6369	2015	31.5	0.8184
38	"alarifi, abdulrahman"	0.8308	0.0464	4	17	19	2	63	1.6369	2015	31.5	0.8184
39	"alashwal, hany"	0.7973	-0.0882	4	32	32	1	26	2.0179	2018	26	2.0179
46	"alfayez, mohammed"	0.8714	0.0537	4	3	3	1	29	0.7205	2014	29	0.7205
48	"alhosseini, seyed ali"	-0.116	0.2496	3	13	13	1	5	0.493	2019	5	0.493
52	"aljohani, naif radi"	0.699	-0.1433	4	32	32	1	8	1.0842	2020	8	1.0842
53	"alkulaib, lulwah"	-0.9408	0.7777	7	5	5	1	11	0.8537	2018	11	0.8537
59	"almeida, mario"	0.9036	-0.1561	4	10	13	1	27	0.7277	2016	27	0.7277
61	"almuhaysin, abdulmajeed"	0.8714	0.0542	4	3	3	1	29	0.7205	2014	29	0.7205
63	"alothali, eiman"	0.7976	-0.0866	4	32	32	1	26	2.0179	2018	26	2.0179
67	"alsaleh, mansour"	0.8313	0.0463	4	17	19	2	63	1.6369	2015	31.5	0.8184
72	"alvari, hamidreza"	-0.8421	0.2273	17	2	2	1	9	0.8875	2019	9	0.8875
79	"anstead, nick"	0.743	-0.2752	6	15	16	1	24	0.6468	2016	24	0.6468
85	"assenmacher, dennis"	-0.4855	-0.0088	9	46	82	3	35	3.4114	2019.3333	11.6667	1.1371
87	"avvenuti, marco"	-1.297	-0.0041	14	15	30	2	17	4.1508	2021	8.5	2.0754
91	"badawy, adam"	0.0762	0.3772	12	38	93	5	143	12.2532	2018.8	28.6	2.4506
104	"bastos, marco t."	-0.1315	-0.123	3	28	30	1	128	12.6217	2019	128	12.6217
110	"beigi, ghazaleh"	-0.8415	0.2236	17	2	2	1	9	0.8875	2019	9	0.8875
125	"berthele, davina"	-0.4237	-0.0695	1	26	26	1	14	1.0139	2017	14	1.0139
127	"beskow, david m."	-0.2792	0.1114	12	15	31	3	31	2.7629	2018.3333	10.3333	0.921
134	"bin tareaf, raad"	-0.1174	0.248	3	13	13	1	5	0.493	2019	5	0.493
141	"boichak, olga"	-0.033	0.5238	12	4	9	1	14	1.0866	2018	14	1.0866
142	"bonneau, richard"	-0.2432	0.3576	5	45	76	3	70	5.5148	2019.3333	23.3333	1.8383
149	"bowman, timothy d."	0.2464	-0.1894	8	21	23	1	111	2.9916	2016	111	2.9916
151	"brachten, florian"	-0.4105	-0.1316	1	37	50	3	69	6.3953	2018	23	2.1318
157	"broniatowski, david a."	-1.0407	0.6843	7	5	5	1	11	0.8537	2018	11	0.8537
165	"cabrera, benjamin"	-0.3977	-0.1964	1	23	24	1	53	5.2262	2019	53	5.2262
167	"cai, chiyu"	0.9299	-0.1915	4	25	32	2	50	3.6212	2017	25	1.8106
170	"calo, ryan"	-0.2349	-0.6221	2	38	43	2	97	7.6333	2018.5	48.5	3.8167
173	"campos-dominguez, eva"	0.3278	-0.3862	6	20	27	3	17	1.4034	2019.3333	5.6667	0.4678
178	"carley, kathleen m."	0.1462	0.0103	10	62	128	15	147	11.7725	2019.7143	9.8	0.7848
179	"carr, leslie"	0.7441	-0.277	6	15	16	1	24	0.6468	2016	24	0.6468
187	"cebrian, manuel"	-0.9207	0.827	7	5	5	1	31	4.2015	2020	31	4.2015
199	"chavoshi, nikan"	0.3521	0.2491	3	38	62	5	125	4.9723	2017.4	25	0.9945
224	"clark, eric m."	-0.6198	-0.0026	9	10	13	1	46	1.2398	2016	46	1.2398
225	"clement, maxime"	-0.1829	-0.2359	1	4	4	1	14	0.6696	2015	14	0.6696
226	"clever, lena"	-0.4612	-0.177	1	19	21	1	11	1.4908	2020	11	1.4908
227	"cope, robert"	-0.1684	0.2005	3	13	15	1	13	1.009	2018	13	1.009
230	"costa, alceu ferraz"	0.9248	-0.2765	6	19	23	2	54	2.7794	2016	27	1.3897
231	"cox, ramon alfonso villa"	0.3599	0.0844	10	10	10	1	5	2.0526	2021	5	2.0526
234	"cresci, stefano"	-1.187	-0.0045	14	17	34	3	48	8.3523	2020.6667	16	2.7841
236	"crilley, rhys"	-0.9184	0.8024	7	5	5	1	7	4.1806	2022	7	4.1806
238	"croitoru, arie"	0.172	0.3379	3	32	47	2	13	1.2819	2019	6.5	0.6409
240	"crooks, andrew t."	0.6212	1.106	11	41	54	2	48	4.7331	2019	24	2.3666
241	"crowcroft, jon"	0.9041	-0.1572	4	10	13	1	27	0.7277	2016	27	0.7277
249	"dadfarnia, mahila"	1.346	-0.3233	13	1	1	1	11	0.8537	2018	11	0.8537
250	"dadkhah, sajjad"	1.2888	-0.1447	4	2	2	1	6	2.4632	2021	6	2.4632
255	"danforth, christopher m."	-0.6165	0.0021	9	10	13	1	46	1.2398	2016	46	1.2398
