"","research_areas","n"
"1","Computer Science and STEM fields",139
"2","Social Sciences and Communication",52
"3","Computer Science and STEM fields",30
"4","Computer Science and STEM fields",19
"5","Computer Science and STEM fields",18
"6","Social Sciences and Communication",17
"7","Social Sciences and Communication",13
"8","Social Sciences and Communication",12
"9","Social Sciences and Communication",10
"10","Computer Science and STEM fields",8
"11","Computer Science and STEM fields",7
"12","Interdisciplinary - Social Sciences and STEM fields",6
"13","Social Sciences and Communication",6
"14","Interdisciplinary - Social Sciences and STEM fields",5
"15","Art and Humanities",4
"16","Interdisciplinary - Social Sciences and STEM fields",4
"17","Interdisciplinary - Social Sciences and STEM fields",4
"18","Interdisciplinary - Social Sciences and STEM fields",4
"19","Art and Humanities",4
"20","Computer Science and STEM fields",4
"21","Social Sciences and Communication",3
"22","Interdisciplinary - Social Sciences and STEM fields",3
"23","Other",3
"24","Art and Humanities",3
"25","Art and Humanities",2
"26","Other",2
"27","Interdisciplinary - Social Sciences and STEM fields",2
"28","Interdisciplinary - Social Sciences and STEM fields",2
"29","Interdisciplinary - Social Sciences and STEM fields",2
"30","Computer Science and STEM fields",2
"31","Social Sciences and Communication",2
"32","Social Sciences and Communication",2
"33","Art and Humanities",2
"34","Interdisciplinary - Social Sciences and STEM fields",2
"35","Social Sciences and Communication",2
"36","Other",1
"37","Art and Humanities",1
"38","Computer Science and STEM fields",1
"39","Other",1
"40","Social Sciences and Communication",1
"41","Other",1
"42","Other",1
"43","Other",1
"44","Computer Science and STEM fields",1
"45","Interdisciplinary - Social Sciences and STEM fields",1
"46","Social Sciences and Communication",1
"47","Art and Humanities",1
"48","Other",1
"49","Social Sciences and Communication",1
"50","Social Sciences and Communication",1
"51","Social Sciences and Communication",1
"52","Interdisciplinary - Social Sciences and STEM fields",1
"53","Interdisciplinary - Social Sciences and STEM fields",1
"54","Interdisciplinary - Social Sciences and STEM fields",1
"55","Interdisciplinary - Social Sciences and STEM fields",1
"56","Computer Science and STEM fields",1
"57","Computer Science and STEM fields",1
"58","Computer Science and STEM fields",1
"59","Computer Science and STEM fields",1
"60","Other",1
"61","Other",1
"62","Interdisciplinary - Social Sciences and STEM fields",1
"63","Other",1
"64","Interdisciplinary - Social Sciences and STEM fields",1
"65","Other",1
"66","Other",1
"67","Interdisciplinary - Social Sciences and STEM fields",1
"68","Art and Humanities",1
"69","Social Sciences and Communication",1
"70","Art and Humanities",1
"71","Other",1
"72","Art and Humanities",1
"73","Art and Humanities",1
"74","Social Sciences and Communication",1
"75","Other",1
"76","Other",1
"77","Computer Science and STEM fields",1
