ID,Title,Author(s),Source,Journal,Language(s),Publication year,Fulltext URL 
 "S0011-52582023000200201-scl","As Flutuações de Longo Prazo da Polarização no Brasil – Análise do Compartilhamento de Informações Políticas Entre 2011 e 2019","Santos Junior, Marcelo Alves dos","Dados; 66(2); -","Dados","Português","2023","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0011-52582023000200201&lang=pt" 
"S1983-71512022000200391-scl","CHOCOLATES BEAN TO BAR E A COVID-19: UMA ANÁLISE DOS IMPACTOS DA PANDEMIA NA GESTÃO DE EMPRESAS DE CHOCOLATES ARTESANAIS BRASILEIRAS","Matos, Mariana Bueno de Andrade, Funo, Luciana Rosa Monteiro, Pimentel, Thais Rabelo","Turismo: Visão e Ação; 24(2); 391-412","Turismo: Visão e Ação","Português","2022","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-71512022000200391&lang=pt" 
"S0104-40362022000200285-scl","A avaliação educacional na produção científica vista por meio de análise de redes sociais","d’Escoffier, Luiz Ney, Oliveira, Camila Cristina Gomes Ferreira de, Lima, Lívia da Fraga, Chrispino, Alvaro","Ensaio: Avaliação e Políticas Públicas em Educação; 30(115); 285-311","Ensaio: Avaliação e Políticas Públicas em Educação","Português","2022","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-40362022000200285&lang=pt" 
"S1679-39512022000300339-scl","Consumer grief: understanding how consumers deal with the loss of extraordinary experiences","Scussel, Fernanda, Suarez, Maribel Carvalho","Cadernos EBAPE.BR; 20(3); 339-351","Cadernos EBAPE.BR","Português, Inglês","2022","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-39512022000300339&lang=pt" 
"S1806-48922022000200332-scl","Born Globals’ Risk Perception and Internationalization in Emerging Markets","Stocker, Fabricio, de Mascena, Keysa Manuela Cunha, Abib, Gustavo, Irigaray, Hélio Arthur Reis","Revista Brasileira de Gestão de Negócios; 24(2); 332-350","Revista Brasileira de Gestão de Negócios","Inglês, Português","2022","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-48922022000200332&lang=pt" 
"S0104-06182022000200385-scl","Nível de complexidade da busca de fontes de informação para inovação da indústria brasileira a partir da análise de redes sociais","Oliveira, Bruno Ferreira de, Cruz, Felipe Ponciano da, Accioly, Enzo Matheus Fernandez Barreira","Economia e Sociedade; 31(2); 385-415","Economia e Sociedade","Português","2022","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-06182022000200385&lang=pt" 
"S2237-101X2022000100094-scl","Entre ruas e casas: mulheres, racialização e redes de vizinhança na cidade de São Paulo, 1776","Santos, Amália Cristovão dos","Topoi (Rio de Janeiro); 23(49); 94-125","Topoi (Rio de Janeiro)","Português","2022","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2237-101X2022000100094&lang=pt" 
"S2317-77212022000100457-scl","TRAÇOS E RETRATOS DA IMPRENSA ON-LINE SOBRE O USO DAS TECNOLOGIAS DIGITAIS DE INFORMAÇÃO E COMUNICAÇÃO COMO FERRAMENTAS DE SUPORTE AO CRIME ORGANIZADO EM RORAIMA, BRASIL","Oliveira, Janaine Voltolini de, Carvalho, Maria João Leote de","Revista de Direito da Cidade; 14(1); 457-493","Revista de Direito da Cidade","Português","2022","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2317-77212022000100457&lang=pt" 
"S1517-45222022000100297-scl","Mobilidades e etnicidade nos territórios da costura","Freitas, Patrícia Tavares de","Sociologias; 24(59); 297-325","Sociologias","Português","2022","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-45222022000100297&lang=pt" 
"S0103-863X2022000100205-scl","Men’s Mental Health in the COVID-19 Pandemic: The Role of Intolerance of Uncertainty and Social Support","Palma, Emanuel Missias Silva, Sousa, Anderson Reis de, Morais, Franciane Andrade de, Teixeira, Jules Ramon Brito, Sousa, Álvaro Francisco Lopes de","Paidéia (Ribeirão Preto); 32(); -","Paidéia (Ribeirão Preto)","Inglês","2022","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-863X2022000100205&lang=pt" 
"S1678-69712022000100302-scl","WELL-BEING AT WORK IN PROCESSES OF ORGANIZATIONAL CHANGE: THE ROLE OF INFORMAL SOCIAL NETWORKS","AMORIM-RIBEIRO, ELISA M. B., NEIVA, ELAINE R., MACAMBIRA, MAGNO O., MARTINS, LEONARDO F.","RAM. Revista de Administração Mackenzie; 23(1); -","RAM. Revista de Administração Mackenzie","Inglês, Português","2022","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-69712022000100302&lang=pt" 
"S1414-32832022000100500-scl","Experiências de extensão em educação popular em saúde no enfrentamento à pandemia da Covid-19 na Atenção Primária à Saúde","Souza, Ingrid Gabriele de, Carvalho, Lais Maria Silva de, Silva, Felipe Marques da, Vasconcelos, Ana Claudia Cavalcanti Peixoto de, Cruz, Pedro José dos Santos Carneiro","Interface - Comunicação, Saúde, Educação; 26(); -","Interface - Comunicação, Saúde, Educação","Inglês, Português","2022","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-32832022000100500&lang=pt" 
"S1415-65552022000401201-scl","Memes as Shortcut to Consumer Culture: A Methodological Approach to Covert Collective Ideologies","Deus, Elisa Priori de, Campos, Roberta Dias, Rocha, Ana Raquel","Revista de Administração Contemporânea; 26(4); -","Revista de Administração Contemporânea","Inglês","2022","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-65552022000401201&lang=pt" 
"S0103-33522022000100208-scl","O campo da democracia digital brasileira: uma análise cientométrica de artigos publicados entre 1999 e 2020","Sampaio, Rafael Cardoso, Freitas, Christiana Soares de, Kleina, Nilton Cesar Monastier, Marioto, Djiovanni Jonas França, Nichols, Bruno Washington, Silva, Tiago Philippini Ferreira Borges da, Alison, Murilo Brum, Bozza, Gabriel Alexandre, Hausen, Victor","Revista Brasileira de Ciência Política; (37); -","Revista Brasileira de Ciência Política","Português","2022","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-33522022000100208&lang=pt" 
"S1413-73722022000100208-scl","A CLÍNICA PSICOLÓGICA COMO UM ESPAÇO DE DESVELAMENTO DAS DESIGUALDADES SOCIAIS","Vieira, Érico Douglas, Romagnoli, Roberta Carvalho","Psicologia em Estudo; 27(); -","Psicologia em Estudo","Inglês, Português","2022","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-73722022000100208&lang=pt" 
"S1413-24782022000100212-scl","Representaciones sociales sobre personajes históricos relevantes en futuros profesores chilenos de historia","Mieres-Chacaltana, Manuel, Sepúlveda, Juan Guillermo Mansilla, Salamanca, Jorge Javier Oyarce","Revista Brasileira de Educação; 27(); -","Revista Brasileira de Educação","Espanhol","2022","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-24782022000100212&lang=pt" 
"S1982-89182022000100403-scl","A DUPLA CARREIRA ACADÊMICO-ESPORTIVA NA AMÉRICA LATINA ENTRE OS ANOS 2000 E 2020: ANÁLISE SOBRE A PRODUÇÃO CIENTÍFICA PUBLICADA EM ARTIGOS","Ricci, Christiano Streb, Aquino, Rodrigo, Marques, Renato Francisco Rodrigues","Movimento; 28(); -","Movimento","Português","2022","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1982-89182022000100403&lang=pt" 
"S1983-36522022000100217-scl","Uso de internet y redes sociales en el marco de la contingencia Covid-19 en Colombia: análisis en población juvenil considerando su nivel socio-económico","Rodríguez-Martínez, Guillermo, Arango Lozano, Carlos Andrés","Texto Livre; 15(); -","Texto Livre","Espanhol","2022","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-36522022000100217&lang=pt" 
"S1517-45222022005001204-scl","Mobilidades e etnicidade nos territórios da costura","Freitas, Patrícia Tavares de","Sociologias; (ahead); -","Sociologias","Português","2022","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-45222022005001204&lang=pt" 
"S1413-24782022000100219-scl","Os primeiros professores de ciências naturais das escolas secundárias paulistas: uma perspectiva histórica (1880-1909)","Alcântara, Wiara Rosa, Meloni, Reginaldo Alberto, Cardoso, Giseli de Oliveira","Revista Brasileira de Educação; 27(); -","Revista Brasileira de Educação","Inglês, Português","2022","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-24782022000100219&lang=pt" 
"S1809-98232022000600202-scl","Infodemia de covid-19 em idosos com acesso a mídias digitais: fatores associados a alterações psicopatológicas","Kitamura, Elisa Shizuê, Cavalcante, Ricardo Bezerra, Castro, Edna Aparecida Barbosa de, Leite, Isabel Cristina Gonçalves","Revista Brasileira de Geriatria e Gerontologia; 25(6); -","Revista Brasileira de Geriatria e Gerontologia","Inglês, Português","2022","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-98232022000600202&lang=pt" 
"S1413-73722022000100213-scl","REDES SOCIAIS SIGNIFICATIVAS DE GESTANTES DE ALTO RISCO: UM ESTUDO QUALITATIVO","Maffei, Bruna, Menezes, Marina, Krenkel, Scheila, Crepaldi, Maria Aparecida","Psicologia em Estudo; 27(); -","Psicologia em Estudo","Inglês, Português","2022","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-73722022000100213&lang=pt" 
"S1678-69712022000300301-scl","Degendering organizations? The emergence of postfeminist networks","Coelho Júnior, Pedro J., Holz, Edvalter B., Sajonc, Raquel C., Hein, Audrey S.","RAM. Revista de Administração Mackenzie; 23(3); -","RAM. Revista de Administração Mackenzie","Inglês","2022","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-69712022000300301&lang=pt" 
"S1983-46592022000100123-scl","THEORY AND PRACTICE IN SOCIAL INNOVATIONS IN THE CITY OF RIO DE JANEIRO, BRAZIL","Afonso, Rita, Kleine, Dorothea, Orsi-Tinoco, Gabriel","Revista de Administração da UFSM; 15(1); 123-136","Revista de Administração da UFSM","Inglês","2022","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-46592022000100123&lang=pt" 
"S1982-25532022000200320-scl","Políticas da assombração: o populismo bolsonarista como produção de inquietantes duplos","Ferraz, Maria Cristina Franco, Clair, Ericson Saint","Galáxia (São Paulo); 47(); -","Galáxia (São Paulo)","Português","2022","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1982-25532022000200320&lang=pt" 
"S1982-25532022000200318-scl","Cartografando comentários e sentimentos no perfil de Jair Bolsonaro no Instagram acerca da Covid-19","Cordeiro, Douglas Farias, Leal, Maiara Raquel Campos, Vieira, Larissa Machado, Silva, Núbia Rosa da","Galáxia (São Paulo); 47(); -","Galáxia (São Paulo)","Português","2022","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1982-25532022000200318&lang=pt" 
"S0104-44782022000100205-scl","Campo de Públicas: uma cientometria a partir de Projetos Pedagógicos de Curso","Clemente, Augusto Junior, Oliveira, Mirella Fontes Ricarte de, Horochovski, Rodrigo Rossi, Junckes, Ivan Jairo, Azevedo, Natália Tavares de","Revista de Sociologia e Política; 30(); -","Revista de Sociologia e Política","Português","2022","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-44782022000100205&lang=pt" 
"S0103-37862022000100505-scl","Evolution mechanism and empirical analysis of innovation network in advanced manufacturing industry","WANG, Jianbo, CAO, Xing, ZHU, Jingying, MA, Hui","Transinformação; 34(); -","Transinformação","Inglês","2022","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-37862022000100505&lang=pt" 
"S0101-90742022000100414-scl","Ativismo em direitos humanos e violência: notas sobre a história da FEDEFAM e a atualidade do desaparecimento forçado de pessoas","Gonçalves, Marcos","História (São Paulo); 41(); -","História (São Paulo)","Português","2022","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-90742022000100414&lang=pt" 
"S0034-83092022000100319-scl","QUANDO A MEMÓRIA É O POMO DA DISCÓRDIA: O 13 DE MAIO DE 2020 E A FUNDAÇÃO PALMARES","Lopes, Juliana Serzedello Crespim, Neves, Paulo Sérgio da Costa","Revista de História (São Paulo); (181); -","Revista de História (São Paulo)","Português","2022","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-83092022000100319&lang=pt" 
"S0104-44782022000100207-scl","Redes de interesses organizados no sistema comissional da Câmara dos Deputados","Resende, Ciro Antônio da Silva","Revista de Sociologia e Política; 30(); -","Revista de Sociologia e Política","Português","2022","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-44782022000100207&lang=pt" 
"S1516-73132022000100227-scl","Um oríkì do meu velho orixá: os diálogos entre ciência e arte na obra de Gilberto Gil","Vilar, Artur Batista, Ramos, Kim Silva, Barbosa-Lima, Maria da Conceição de Almeida","Ciência &amp; Educação (Bauru); 28(); -","Ciência &amp; Educação (Bauru)","Português","2022","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-73132022000100227&lang=pt" 
"S1982-61252021000300005-scl","Um festival para chamar de meu: Análise dos impactos do Festival Internacional SESC de Música, e da sua relação com o orgulho comunitário e a qualidade de vida dos residentes","Berselli, Cristiane, Añaña, Edar da Silva, Zucco, Fabrícia Durieux","Revista Brasileira de Pesquisa em Turismo; 15(3); -","Revista Brasileira de Pesquisa em Turismo","Inglês, Português","2021","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1982-61252021000300005&lang=pt" 
"S1413-99362021000400113-scl","Estratégia em destaque: duas décadas de produção científica do evento 3Es à luz da análise de redes sociais","Ribeiro, Henrique César Melo","Perspectivas em Ciência da Informação; 26(4); 113-150","Perspectivas em Ciência da Informação","Português","2021","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-99362021000400113&lang=pt" 
"S0102-64452021000300069-scl","A ÂNCORA DA SEGURANÇA: CENTRALIDADES E CAPITAIS NA REDE DE SEGURANÇA DO PORTO DE SANTOS","Patriarca, Gabriel","Lua Nova: Revista de Cultura e Política; (114); 69-104","Lua Nova: Revista de Cultura e Política","Português","2021","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-64452021000300069&lang=pt" 
"S1981-98542021000300596-scl","POPULISM, TWITTER, AND POLITICAL COMMUNICATION: an analysis of Jair Bolsonaro’s tweets during the 2018 election campaign","MANGEROTTI, PAULO, RIBEIRO, VASCO, GONZÁLEZ-ALDEA, PATRICIA","Brazilian Journalism Research; 17(3); 596-627","Brazilian Journalism Research","Inglês","2021","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1981-98542021000300596&lang=pt" 
"S0020-38742021000300033-scl","Braços nas argolas e sorrisos nos rostos: narrativas museais sobre a escravidão","Pereira, Vinícius Oliveira, Silva, Alexandra Lima da","Revista do Instituto de Estudos Brasileiros; (80); 33-54","Revista do Instituto de Estudos Brasileiros","Português","2021","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0020-38742021000300033&lang=pt" 
"S1981-98542021000300736-scl","TWEET AND RETWEET JOURNALISM DURING THE PANDEMIC: dissemination of and engagement with news on Twitter","BARBOSA, BELEM, CARVALHO, CÁSSIA","Brazilian Journalism Research; 17(3); 736-763","Brazilian Journalism Research","Inglês","2021","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1981-98542021000300736&lang=pt" 
"S1981-98542021000300562-scl","PRESS X GOVERNMENT: the populist rhetoric of the covid-19 pandemic on the social network Twitter","FERNANDES, CARLA MONTUORI, OLIVEIRA, LUIZ ADEMIR DE, CAMPOS, MARIANE MOTTA DE, COIMBRA, MAYRA REGINA","Brazilian Journalism Research; 17(3); 562-595","Brazilian Journalism Research","Inglês","2021","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1981-98542021000300562&lang=pt" 
"S0104-71832021000300291-scl","Amor ou risco? Refletindo sobre sentidos, regulações e orientações a respeito do leite materno a partir de casos de “amamentação cruzada”","Nucci, Marina, Fazzioni, Natalia","Horizontes Antropológicos; 27(61); 291-322","Horizontes Antropológicos","Português","2021","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-71832021000300291&lang=pt" 
"S1806-48922021000400677-scl","Network Centrality and Performance: Effects in the Automotive Industry","Ferreira, Augusto Squarsado, Sacomano Neto, Mário, Candido, Silvio Eduardo Alvarez, Ferratti, Gustavo Mendonça","Revista Brasileira de Gestão de Negócios; 23(4); 677-695","Revista Brasileira de Gestão de Negócios","Inglês, Português","2021","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-48922021000400677&lang=pt" 
"S1518-70122021000401197-scl","Impactos de la implementación del Corredor Vial Bioceánico en la educación escolar en la frontera Brasil/Paraguay: conociendo el contexto","Basso, Jaqueline Daniela, Ferretti, Vanessa Arlésia de Souza","Interações (Campo Grande); 22(4); 1197-1212","Interações (Campo Grande)","Espanhol","2021","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1518-70122021000401197&lang=pt" 
"S0034-76122021000501077-scl","Citizens’ social media adoption in Paraguay","Homburg, Vincent, Moody, Rebecca","Revista de Administração Pública; 55(5); 1077-1100","Revista de Administração Pública","Inglês, Português","2021","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-76122021000501077&lang=pt" 
"S1518-70122021000300941-scl","Lacunas de conhecimento e cooperação: análise de uma rede social em um instituto de tecnologia da região do ABC Paulista","Farina, Milton Carlos, Melo, Rodrigo Santos de, Dutra, Flávio Gálio Araújo","Interações (Campo Grande); 22(3); 941-957","Interações (Campo Grande)","Português","2021","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1518-70122021000300941&lang=pt" 
"S0034-76122021000400995-scl","Intersetorialidade e redes sociais: a implementação de projetos para população em situação de rua em São Paulo","Canato, Pamella, Bichir, Renata","Revista de Administração Pública; 55(4); 995-1006","Revista de Administração Pública","Inglês, Português","2021","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-76122021000400995&lang=pt" 
"S0103-20702021000200183-scl","Digital communication as a global challenge for trade unions: Lessons from Brazil and Portugal","Costa, Hermes Augusto, Carneiro, Bia","Tempo Social; 33(2); 183-208","Tempo Social","Inglês","2021","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-20702021000200183&lang=pt" 
"S1809-58442021000200137-scl","Disseminação de discursos de ódio em comentários de notícias: uma análise a partir de notícias sobre o universo LGBT em cibermeios sul-mato-grossenses no Facebook","Silva, Marcos Paulo da, Silva, Lucas Souza da","Intercom: Revista Brasileira de Ciências da Comunicação; 44(2); 137-155","Intercom: Revista Brasileira de Ciências da Comunicação","Inglês, Português","2021","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-58442021000200137&lang=pt" 
"S0104-62762021000200681-scl","Los memes políticos como recurso persuasivo online . Análisis de su repercusión durante los debates electorales de 2019 en España","Medina, Rocio Zamora, García, Salvador Gómez, Martínez, Helena Martínez","Opinião Pública; 27(2); 681-704","Opinião Pública","Espanhol","2021","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-62762021000200681&lang=pt" 
"S0100-85872021000200183-scl","Entidades evangélicas e o combate à corrupção no Brasil (2012-2018)","Bezerra, Marcos Otavio, Moura, Gabriela da Silva","Religião &amp; Sociedade; 41(2); 183-208","Religião &amp; Sociedade","Português","2021","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-85872021000200183&lang=pt" 
"S1413-99362021000200058-scl","O campo de turismo no Brasil: caracterização e análise da rede de pesquisadores e sua dinâmica regional","Kohler, Andre Fontan, Digiampietri, Luciano Antonio","Perspectivas em Ciência da Informação; 26(2); 58-82","Perspectivas em Ciência da Informação","Português","2021","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-99362021000200058&lang=pt" 
"S1808-23862021000300297-scl","Effects of Social Comparison, Travel Envy and Self-presentation on the Intention to Visit Tourist Destinations","Machado, Danielle Fernandes Costa, Santos, Paula Cândida do Couto, Medeiros, Mirna de Lima","BBR. Brazilian Business Review; 18(3); 297-316","BBR. Brazilian Business Review","Inglês, Português","2021","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1808-23862021000300297&lang=pt" 
"S0104-62762021000100090-scl","Como o agente fiscalizador utiliza a comunicação online ? A ideia de transparência pública nas redes sociais da Controladoria-Geral da União","Kniess, Andressa Butture, Marques, Francisco Paulo Jamil","Opinião Pública; 27(1); 90-126","Opinião Pública","Português","2021","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-62762021000100090&lang=pt" 
"S0104-62762021000100051-scl","A mobilização cívica e política na era das redes sociais: uma análise da ação de movimentos sociais no Facebook","Sousa, João Carlos, Morais, Ricardo","Opinião Pública; 27(1); 51-89","Opinião Pública","Português","2021","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-62762021000100051&lang=pt" 
"S1983-71512021000100216-scl","COMUNICAÇÃO COM CLIENTES VIA REDES SOCIAIS: DA CAPTAÇÃO AO PÓS-VENDA EM AGÊNCIAS DE VIAGEM DE SÃO LUÍS DO MARANHÃO, BRASIL","SILVA, DAVID LEONARDO BOUÇAS DA, SILVA, JOVELANE RIBEIRO DA, FERREIRA, LUCIANA BRANDÃO, SOUSA, ERIBERTO DO NASCIMENTO","Turismo: Visão e Ação; 23(1); 216-241","Turismo: Visão e Ação","Português","2021","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-71512021000100216&lang=pt" 
"S1809-58442021000100047-scl","Práticas comunicativas, mídias e tecnologias: estudos cruzados entre Brasil e Angola","Moura, Flávia de Almeida, Araújo, Ed Wilson Ferreira","Intercom: Revista Brasileira de Ciências da Comunicação; 44(1); 47-62","Intercom: Revista Brasileira de Ciências da Comunicação","Inglês, Português","2021","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-58442021000100047&lang=pt" 
"S1518-70122021000100083-scl","Rural development in the Sertão do São Francisco, Bahia: an interpretation based on the trajectories of peasant families of the territory","Monteiro, Denis, Guedes, Cezar Augusto Miranda","Interações (Campo Grande); 22(1); 83-102","Interações (Campo Grande)","Inglês","2021","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1518-70122021000100083&lang=pt" 
"S0104-40362021005008208-scl","A avaliação educacional na produção científica vista por meio de análise de redes sociais","d’Escoffier, Luiz Ney, Oliveira, Camila Cristina Gomes Ferreira de, Lima, Lívia da Fraga, Chrispino, Alvaro","Ensaio: Avaliação e Políticas Públicas em Educação; (ahead); -","Ensaio: Avaliação e Políticas Públicas em Educação","Português","2021","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-40362021005008208&lang=pt" 
"S0104-12902021000200302-scl","Narrativas sobre vacinação em tempos de fake news: uma análise de conteúdo em redes sociais","Massarani, Luisa, Waltz, Igor, Leal, Tatiane, Modesto, Michelle","Saúde e Sociedade; 30(2); -","Saúde e Sociedade","Português","2021","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-12902021000200302&lang=pt" 
"S0102-69092021000300509-scl","A TRADUÇÃO DE LIVROS DE CIÊNCIAS SOCIAIS NO BRASIL: uma análise das publicações da Zahar Editores (1957-1984)","Nóbrega, Leonardo","Revista Brasileira de Ciências Sociais; 36(107); -","Revista Brasileira de Ciências Sociais","Português","2021","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-69092021000300509&lang=pt" 
"S0103-73072021000100509-scl","Lealdade, ambivalência e rebeldia: as estratégias de relacionamento de Oswald de Andrade e Menotti del Picchia na construção de suas redes de sociabilidade","Ribeiro, Vanessa Konopczyk Amaral","Pro-Posições; 32(); -","Pro-Posições","Português","2021","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-73072021000100509&lang=pt" 
"S1517-97022021000100733-scl","Percepção discente sobre cursos de graduação em Ciências Agrárias e Humanidades da UNESP","Santos, Monique Matsuda dos, Pedroso, Isabela Gomes Ferreira, Oliveira, Sandra Cristina de","Educação e Pesquisa; 47(); -","Educação e Pesquisa","Inglês, Português","2021","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-97022021000100733&lang=pt" 
"S0103-73312021000300601-scl","Analyzing vulnerable children and adolescents’ health promotion in a civil-society organization in Florianopolis-SC","Selau, Bruna Lima, Kovaleski, Douglas Francisco, Paim, Marina Bastos","Physis: Revista de Saúde Coletiva; 31(3); -","Physis: Revista de Saúde Coletiva","Inglês, Português","2021","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-73312021000300601&lang=pt" 
"S0104-026X2021000200210-scl","Mulheres de sucesso no campo científico: uma análise de redes sociais","Nunes, Polliane Trevisan, Wanderer, Fernanda","Revista Estudos Feministas; 29(2); -","Revista Estudos Feministas","Português","2021","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-026X2021000200210&lang=pt" 
"S0104-44782021000100202-scl","Sistemas deliberativos em perspectiva meso: o subsistema dos conselhos nacionais de políticas públicas e seus conectores","Silva, Eduardo Moreira da, Ribeiro, Antonio Carlos Andrade","Revista de Sociologia e Política; 29(77); -","Revista de Sociologia e Política","Português","2021","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-44782021000100202&lang=pt" 
"S1413-24782021000100235-scl","O jogo político do Fundo de Financiamento Estudantil (FIES) (2010-2016)","Santos, Aline Veiga dos, Chaves, Vera Lúcia Jacob, Paixão, Divaneide Lira Lima","Revista Brasileira de Educação; 26(); -","Revista Brasileira de Educação","Inglês, Português","2021","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-24782021000100235&lang=pt" 
"S1982-25532021000100319-scl","Covid-19, desinformação e Facebook: circulação de URLs sobre a hidroxicloroquina em páginas e grupos públicos1","Soares, Felipe Bonow, Viegas, Paula, Bonoto, Carolina, Recuero, Raquel","Galáxia (São Paulo); (46); -","Galáxia (São Paulo)","Português","2021","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1982-25532021000100319&lang=pt" 
"S1678-69712021000500301-scl","PERSONAL VALUES AND INTRAGROUP RELATIONSHIP: THE CASE OF THE POLICE TACTICAL GROUPS IN BRASÍLIA","DIAS, FAGNER O., REYES JUNIOR, EDGAR, COSTA, CAROLINE C. B., BARROS, ANDRÉIA E. S.","RAM. Revista de Administração Mackenzie; 22(5); -","RAM. Revista de Administração Mackenzie","Inglês, Português","2021","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-69712021000500301&lang=pt" 
"S0101-73302021000100903-scl","LOS GRUPOS DE WHATSAPP Y LA CONSTRUCCIÓN DE NUEVAS CIUDADANÍAS EN LAS ESCUELAS","Dussel, Inés, Cardona, María Guadalupe Fuentes","Educação &amp; Sociedade; 42(); -","Educação &amp; Sociedade","Espanhol","2021","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-73302021000100903&lang=pt" 
