afilliation,n
Universidade de São Paulo,115
Universidade Federal de Minas Gerais,49
Universidade Federal do Rio de Janeiro,46
Universidade Federal do Rio Grande do Sul,43
Universidade Federal de Santa Catarina,43
Universidade de Brasília,40
Universidade Federal do Parana,34
Fundacao Oswaldo Cruz,31
Universidade Estadual de Campinas,29
Universidade Estadual Paulista Júlio de Mesquita Filho,28
Universidade Federal de Pernambuco,28
Universidade Federal de São Carlos,24
Universidade do Estado do Rio de Janeiro,23
Universidade Federal de São Paulo,22
Fundacao Getulio Vargas,22
Universidade Federal Fluminense,20
Universidade Federal da Bahia,18
Universidade Federal do Ceará,18
Universidade Federal da Paraíba,15
Universidade Federal do Pará,14
Universidade Federal de Juiz de Fora,13
Universidade Federal de Vicosa,12
Universidade Federal de Goiás,12
Universidade Estadual de Londrina,12
Universidade Federal Rural de Pernambuco,11
Pontifícia Universidade Católica do Paraná,11
Universidade Federal do Rio Grande do Norte,11
Universidade do Estado de Santa Catarina,11
Universidade Federal de Pelotas,10
Universidade Estadual de Ponta Grossa,10
Pontificia Universidade Catolica de Sao Paulo,9
Universidade Federal de Lavras,9
Federal University of Espirito Santo,9
Universidade Federal de Campina Grande,8
Universidade Federal de Alagoas,8
Universidade Presbiteriana Mackenzie,8
Universidade Estadual de Feira de Santana,8
Universidade Federal de Ouro Preto,8
Universidade Estadual de Maringa,8
Pontificia Universidade Catolica de Minas Gerais,8
Universidade Federal de Santa Maria,8
Universidade Federal de Mato Grosso,7
Universidade do Porto,7
Universidade Federal do Triangulo Mineiro,7
Universidade do Vale do Rio dos Sinos,7
Universidade Federal de Sao Joao del-Rei,7
Pontifícia Universidade Católica do Rio de Janeiro,7
Universidade Federal do ABC,6
Universidade Federal de Sergipe,6
Universidade de Aveiro,6
Universidade Estadual de Santa Cruz,6
Universidad Complutense de Madrid,6
Universidade Tecnológica Federal do Paraná,6
Universidade Federal Rural do Rio de Janeiro,6
Universidade Nove de Julho,6
SENAI CIMATEC,6
Instituto Nacional de Pesquisas Espaciais,5
Universidade de Fortaleza,5
Pontifícia Universidade Católica do Rio Grande do Sul,5
Universidade Estadual do Centro Oeste,5
Universidade de Coimbra,5
Universidade Estadual do Ceará,5
Universidade Federal do Estado do Rio de Janeiro,5
Centro Brasileiro de Analise E Planejamento,5
Centro Federal De Educacão Tecnológica Celso Suckow Da Fonseca,5
Instituto de Saude de Sao Paulo,5
Universidad Carlos III de Madrid,4
Universidade Federal de Mato Grosso do Sul,4
Universidade Catolica de Brasilia,4
University of Oxford,4
Universidade Paulista,4
"Universidad de Los Andes, Colombia",4
Universidade Federal do Pampa,4
Escola Superior de Propaganda e Marketing,4
Universidade de Lisboa,4
Universidade Positivo,4
Universidade Federal do Rio Grande,3
Universidad de Buenos Aires,3
Universidade Federal do Reconcavo da Bahia,3
Universidade Luterana do Brasil,3
Universidade do Estado do Rio Grande do Norte,3
King's College London,3
Universidade Estadual de Goias,3
Universidade Metodista de Piracicaba,3
University of Florida,3
Universidade Federal do Maranhao,3
Universidade do Vale do Itajai,3
University of Toronto,3
Universidade Metodista de Sao Paulo,3
University College London,3
Universidade do Estado da Bahia,3
Universidade de Vigo,3
University of Wisconsin-Madison,3
Centro Federal de Educacao Tecnologica de Minas Gerais,3
Leibniz Center for Tropical Marine Research,3
Université de Montpellier,3
Federal Institute of Pará IFPA,2
Centro de Estudos da Metrópole,2
Institute for Applied Economic Research,2
Università degli Studi di Padova,2
The University of Sheffield,2
Universidade Federal de Alfenas,2
Universidade Catolica Dom Bosco,2
Università degli Studi di Perugia,2
Consejo Nacional de Investigaciones Científicas y Técnicas,2
Universität Koblenz-Landau,2
Instituto Brasileiro de Informacao Em Ciencia E Tecnologia,2
Empresa Brasileira de Pesquisa Agropecuária - Embrapa,2
Universidade do Extremo Sul Catarinense,2
Brown University,2
Universitat Politècnica de València,2
Politecnico di Torino,2
Universidad de Chile,2
Universidade do Vale do Paraiba,2
Icahn School of Medicine at Mount Sinai,2
Polish Academy of Sciences,2
Universidade Federal de Uberlândia,2
University of Nottingham,2
Universidade Estadual do Sudoeste da Bahia,2
"The University of Tennessee, Knoxville",2
Universidade Regional de Blumenau,2
University of York,2
Universidade Federal do Tocantins,2
Universidade Estadual do Vale do Acarau,2
Universidad de Almería,2
Instituto de Telecomunicacoes,2
Università degli Studi di Palermo,2
Universität Hohenheim,2
Fundacao Universidade Federal do Vale do Sao Francisco,2
Monash University,2
Universidade de Santa Cruz do Sul,2
Universidade do Minho,2
HSE University,2
Universidade Municipal de Sao Caetano do Sul,2
AP-HP Assistance Publique - Hopitaux de Paris,2
Instituto Tecnologico de Aeronautica,2
Universidade Salgado de Oliveira,2
Universidade de Pernambuco,2
Erasmus Universiteit Rotterdam,2
Universidade da Coruña,2
Fundacao Universidade Federal de Rondonia,2
Universidad de Salamanca,2
Universidade Federal de Itajubá,2
Universidade Federal do Piauí,2
The University of Edinburgh,2
CIBIO - Centro de Investigação em Biodiversidade e Recursos Genéticos,2
Université du Québec à Montréal,2
Carnegie Mellon University,2
Alma Mater Studiorum Università di Bologna,2
Universidade de Caxias do Sul,2
Universidad Católica del Norte,2
Aarhus Universitet,2
Freie Universität Berlin,2
The University of Queensland,2
CIRAD,2
University of Cambridge,2
London School of Hygiene & Tropical Medicine,2
Michigan State University,2
Universidade Nova de Lisboa,2
Università degli Studi di Verona,2
